rawContent,status,label,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
Masa masih legend udh di lock,1,Negatif,masa masih legend udh di lock,masa masih legend udh di lock,"['masa', 'masih', 'legend', 'udh', 'di', 'lock']","['legend', 'udh', 'lock']","['legend', 'udh', 'lock']","['legend', 'udh', 'lock']"
GAME SAMPAH GAME PENUH KECURANGAN DARI MOONTON.,1,Negatif,game sampah game penuh kecurangan dari moonton.,game sampah game penuh kecurangan dari moonton,"['game', 'sampah', 'game', 'penuh', 'kecurangan', 'dari', 'moonton']","['game', 'sampah', 'game', 'penuh', 'kecurangan', 'moonton']","['game', 'sampah', 'game', 'penuh', 'kecurangan', 'moonton']","['game', 'sampah', 'game', 'penuh', 'curang', 'moonton']"
Makin parah sekarang banyak dark sistemm bagus main di game sebelah,1,Negatif,makin parah sekarang banyak dark sistemm bagus main di game sebelah,makin parah sekarang banyak dark sistemm bagus main di game sebelah,"['makin', 'parah', 'sekarang', 'banyak', 'dark', 'sistemm', 'bagus', 'main', 'di', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'belah']"
dark sytem,1,Negatif,dark sytem,dark sytem,"['dark', 'sytem']","['dark', 'sytem']","['dark', 'sytem']","['dark', 'sytem']"
game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,1,Negatif,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,"['game', 'nya', 'ga', 'seru', 'tidak', 'bisa', 'menyeimbangkan', 'pemain', 'sampai', 'lose', 'streak', 'beberapa', 'kali']","['game', 'nya', 'ga', 'seru', 'menyeimbangkan', 'pemain', 'lose', 'streak', 'kali']","['game', 'nya', 'ga', 'seru', 'menyeimbangkan', 'pemain', 'lose', 'streak', 'kali']","['game', 'nya', 'ga', 'seru', 'imbang', 'main', 'lose', 'streak', 'kali']"
anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. Minta tolong untuk bisa membuat game yang draf pick yang imbang,1,Negatif,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. minta tolong untuk bisa membuat game yang draf pick yang imbang,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun minta tolong untuk bisa membuat game yang draf pick yang imbang,"['anjing', 'lah', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'di', 'glori', 'masih', 'ada', 'aja', 'payer', 'yang', 'tolol', 'ya', 'minta', 'amupun', 'minta', 'tolong', 'untuk', 'bisa', 'membuat', 'game', 'yang', 'draf', 'pick', 'yang', 'imbang']","['anjing', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'glori', 'aja', 'payer', 'tolol', 'ya', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']","['anjing', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'glori', 'aja', 'payer', 'tolol', 'ya', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']","['anjing', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'glori', 'aja', 'payer', 'tolol', 'ya', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']"
Lebih mending main Honor of King ini mah banyak dark sistemnya,1,Negatif,lebih mending main honor of king ini mah banyak dark sistemnya,lebih mending main honor of king ini mah banyak dark sistemnya,"['lebih', 'mending', 'main', 'honor', 'of', 'king', 'ini', 'mah', 'banyak', 'dark', 'sistemnya']","['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistemnya']","['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistemnya']","['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistem']"
Hari game BB tidak ada event Langsung Hapus gamenya. Terimakasih.,1,Negatif,hari game bb tidak ada event langsung hapus gamenya. terimakasih.,hari game bb tidak ada event langsung hapus gamenya terimakasih,"['hari', 'game', 'bb', 'tidak', 'ada', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']"
tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,1,Negatif,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,"['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'lagi', 'saya', 'mau', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bisa', 'malah', 'bulak', 'balik', 'lagi', 'tolong', 'kerjasamanya']","['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bulak', 'tolong', 'kerjasamanya']","['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bulak', 'tolong', 'kerjasamanya']","['tolong', 'pindah', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bulak', 'tolong', 'kerjasamanya']"
Game Dajjal udh pke wifi Masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak Dajjal bekas kaos kaki Dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak Dajjal babi bangsat Mampus,1,Negatif,game dajjal udh pke wifi masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak dajjal bekas kaos kaki dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak dajjal babi bangsat mampus,game dajjal udh pke wifi masi ngeleg bikin stres semoga perusahaan montooon bangkrut tidak ada yg mau main montoon nak dajjal bekas kaos kaki dajjal udh perusahaan haram mending hapus ae game haram menjijikan anak dajjal babi bangsat mampus,"['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkrut', 'tidak', 'ada', 'yg', 'mau', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkrut', 'yg', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkrut', 'yg', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['game', 'dajjal', 'udh', 'pke', 'wifi', 'mas', 'ngeleg', 'bikin', 'stres', 'moga', 'usaha', 'montooon', 'bangkrut', 'yg', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'usaha', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'jijik', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']"
Bodoh moonton tolol ngasih team kek babi,1,Negatif,bodoh moonton tolol ngasih team kek babi,bodoh moonton tolol ngasih team kek babi,"['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']","['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']","['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']","['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']"
pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,1,Negatif,pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,"['pembagian', 'tim', 'gak', 'seimbang', 'sangat', 'mengganggu', 'dan', 'membuat', 'game', 'ini', 'menjadi', 'kurang', 'seru']","['pembagian', 'tim', 'gak', 'seimbang', 'mengganggu', 'game', 'seru']","['pembagian', 'tim', 'gak', 'seimbang', 'mengganggu', 'game', 'seru']","['bagi', 'tim', 'gak', 'imbang', 'ganggu', 'game', 'seru']"
Banyak dark sistem males main BURIK,1,Negatif,banyak dark sistem males main burik,banyak dark sistem males main burik,"['banyak', 'dark', 'sistem', 'males', 'main', 'burik']","['dark', 'sistem', 'males', 'main', 'burik']","['dark', 'sistem', 'males', 'main', 'burik']","['dark', 'sistem', 'males', 'main', 'burik']"
Dark sistem anjing game setingan tolol,1,Negatif,dark sistem anjing game setingan tolol,dark sistem anjing game setingan tolol,"['dark', 'sistem', 'anjing', 'game', 'setingan', 'tolol']","['dark', 'sistem', 'anjing', 'game', 'setingan', 'tolol']","['dark', 'sistem', 'anjing', 'game', 'setingan', 'tolol']","['dark', 'sistem', 'anjing', 'game', 'ting', 'tolol']"
gabut aja,1,Negatif,gabut aja,gabut aja,"['gabut', 'aja']","['gabut', 'aja']","['gabut', 'aja']","['gabut', 'aja']"
Gambarnya tidak bagus..Game tai... Lelet padahal jaringan gua bagus... Sistem berlebihan.. jangan di download,1,Negatif,gambarnya tidak bagus..game tai... lelet padahal jaringan gua bagus... sistem berlebihan.. jangan di download,gambarnya tidak bagus game tai lelet padahal jaringan gua bagus sistem berlebihan jangan di download,"['gambarnya', 'tidak', 'bagus', 'game', 'tai', 'lelet', 'padahal', 'jaringan', 'gua', 'bagus', 'sistem', 'berlebihan', 'jangan', 'di', 'download']","['gambarnya', 'bagus', 'game', 'tai', 'lelet', 'jaringan', 'gua', 'bagus', 'sistem', 'download']","['gambarnya', 'bagus', 'game', 'tai', 'lelet', 'jaringan', 'gua', 'bagus', 'sistem', 'download']","['gambar', 'bagus', 'game', 'tai', 'lelet', 'jaring', 'gua', 'bagus', 'sistem', 'download']"
game ampas banyak dark sistem bug dan lain lain,1,Negatif,game ampas banyak dark sistem bug dan lain lain,game ampas banyak dark sistem bug dan lain lain,"['game', 'ampas', 'banyak', 'dark', 'sistem', 'bug', 'dan', 'lain', 'lain']","['game', 'ampas', 'dark', 'sistem', 'bug']","['game', 'ampas', 'dark', 'sistem', 'bug']","['game', 'ampas', 'dark', 'sistem', 'bug']"
P mabar yg lebih seru,1,Negatif,p mabar yg lebih seru,p mabar yg lebih seru,"['p', 'mabar', 'yg', 'lebih', 'seru']","['p', 'mabar', 'yg', 'seru']","['p', 'mabar', 'yg', 'seru']","['p', 'mabar', 'yg', 'seru']"
banyak bocah ingusan ni min mager gua ngerank,1,Negatif,banyak bocah ingusan ni min mager gua ngerank,banyak bocah ingusan ni min mager gua ngerank,"['banyak', 'bocah', 'ingusan', 'ni', 'min', 'mager', 'gua', 'ngerank']","['bocah', 'ingusan', 'ni', 'min', 'mager', 'gua', 'ngerank']","['bocah', 'ingusan', 'ni', 'min', 'mager', 'gua', 'ngerank']","['bocah', 'ingus', 'ni', 'min', 'mager', 'gua', 'ngerank']"
pliss lah masaalh lawan ssh kali lah dark system,2,Negatif,pliss lah masaalh lawan ssh kali lah dark system,pliss lah masaalh lawan ssh kali lah dark system,"['pliss', 'lah', 'masaalh', 'lawan', 'ssh', 'kali', 'lah', 'dark', 'system']","['pliss', 'masaalh', 'lawan', 'ssh', 'kali', 'dark', 'system']","['pliss', 'masaalh', 'lawan', 'ssh', 'kali', 'dark', 'system']","['pliss', 'masaalh', 'lawan', 'ssh', 'kali', 'dark', 'system']"
Aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðŸ—¿ pliss,2,Negatif,aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðÿ—¿ pliss,aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku tahun stack di epikðÿ—¿ pliss,"['aku', 'sering', 'main', 'cuma', 'ya', 'di', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'terus', 'muntun', 'tolong', 'lah', 'kasih', 'tim', 'yang', 'bener', 'aku', 'tahun', 'stack', 'di', 'epikðÿ—¿', 'pliss']","['main', 'ya', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'muntun', 'tolong', 'kasih', 'tim', 'bener', 'stack', 'epikðÿ—¿', 'pliss']","['main', 'ya', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'muntun', 'tolong', 'kasih', 'tim', 'bener', 'stack', 'epikðÿ—¿', 'pliss']","['main', 'ya', 'kasih', 'kalah', 'menang', 'kalah', 'kalah', 'kalah', 'kalah', 'kalah', 'menang', 'kalah', 'kalah', 'muntun', 'tolong', 'kasih', 'tim', 'bener', 'stack', 'epik', 'pliss']"
pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,2,Negatif,pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,pindah aj lh bnyk tim ga seimbang msa gw glory b ktemu glory b ap cb udahlah banyak omong lagi dh s gw,"['pindah', 'aj', 'lh', 'bnyk', 'tim', 'ga', 'seimbang', 'msa', 'gw', 'glory', 'b', 'ktemu', 'glory', 'b', 'ap', 'cb', 'udahlah', 'banyak', 'omong', 'lagi', 'dh', 's', 'gw']","['pindah', 'aj', 'lh', 'bnyk', 'tim', 'ga', 'seimbang', 'msa', 'gw', 'glory', 'b', 'ktemu', 'glory', 'b', 'ap', 'cb', 'udahlah', 'omong', 'dh', 's', 'gw']","['pindah', 'aj', 'lh', 'bnyk', 'tim', 'ga', 'seimbang', 'msa', 'gw', 'glory', 'b', 'ktemu', 'glory', 'b', 'ap', 'cb', 'udahlah', 'omong', 'dh', 's', 'gw']","['pindah', 'aj', 'lh', 'bnyk', 'tim', 'ga', 'imbang', 'msa', 'gw', 'glory', 'b', 'ktemu', 'glory', 'b', 'ap', 'cb', 'udahlah', 'omong', 'dh', 's', 'gw']"
Kalo ngasih tim yg bener lah,2,Negatif,kalo ngasih tim yg bener lah,kalo ngasih tim yg bener lah,"['kalo', 'ngasih', 'tim', 'yg', 'bener', 'lah']","['kalo', 'ngasih', 'tim', 'yg', 'bener']","['kalo', 'ngasih', 'tim', 'yg', 'bener']","['kalo', 'ngasih', 'tim', 'yg', 'bener']"
ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,2,Negatif,ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,ini aneh bgt sih masa tiap abis login trus ada di lobi menit langsung ulang login lagi sih,"['ini', 'aneh', 'bgt', 'sih', 'masa', 'tiap', 'abis', 'login', 'trus', 'ada', 'di', 'lobi', 'menit', 'langsung', 'ulang', 'login', 'lagi', 'sih']","['aneh', 'bgt', 'sih', 'abis', 'login', 'trus', 'lobi', 'menit', 'langsung', 'ulang', 'login', 'sih']","['aneh', 'bgt', 'sih', 'abis', 'login', 'trus', 'lobi', 'menit', 'langsung', 'ulang', 'login', 'sih']","['aneh', 'bgt', 'sih', 'abis', 'login', 'trus', 'lobi', 'menit', 'langsung', 'ulang', 'login', 'sih']"
monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,2,Negatif,monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm pasti kalo mau naik epic susah,"['monton', 'pasti', 'kalo', 'mau', 'naik', 'dikasih', 'musuh', 'yang', 'pro', 'aku', 'main', 'sebulan', 'ngestack', 'di', 'gm', 'pasti', 'kalo', 'mau', 'naik', 'epic', 'susah']","['monton', 'kalo', 'dikasih', 'musuh', 'pro', 'main', 'sebulan', 'ngestack', 'gm', 'kalo', 'epic', 'susah']","['monton', 'kalo', 'dikasih', 'musuh', 'pro', 'main', 'sebulan', 'ngestack', 'gm', 'kalo', 'epic', 'susah']","['monton', 'kalo', 'kasih', 'musuh', 'pro', 'main', 'bulan', 'ngestack', 'gm', 'kalo', 'epic', 'susah']"
banyak makan penyimpanan,2,Negatif,banyak makan penyimpanan,banyak makan penyimpanan,"['banyak', 'makan', 'penyimpanan']","['makan', 'penyimpanan']","['makan', 'penyimpanan']","['makan', 'simpan']"
buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,2,Negatif,buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,"['buat', 'yang', 'sinyalnya', 'sering', 'lag', 'mndng', 'pindah', 'ke', 'game', 'sebelah', 'dehh', 'disana', 'sinyalnya', 'ijo', 'truss', 'jadi', 'ga', 'keganggu', 'sinyal', 'pas', 'main']","['sinyalnya', 'lag', 'mndng', 'pindah', 'game', 'sebelah', 'dehh', 'disana', 'sinyalnya', 'ijo', 'truss', 'ga', 'keganggu', 'sinyal', 'pas', 'main']","['sinyalnya', 'lag', 'mndng', 'pindah', 'game', 'sebelah', 'dehh', 'disana', 'sinyalnya', 'ijo', 'truss', 'ga', 'keganggu', 'sinyal', 'pas', 'main']","['sinyal', 'lag', 'mndng', 'pindah', 'game', 'belah', 'dehh', 'sana', 'sinyal', 'ijo', 'truss', 'ga', 'ganggu', 'sinyal', 'pas', 'main']"
game nya jahat suka bgt ngasi tim jelek AKU UDA JAGO MALAH DI COMEBACK???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,2,Negatif,game nya jahat suka bgt ngasi tim jelek aku uda jago malah di comeback???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,game nya jahat suka bgt ngasi tim jelek aku uda jago malah di comeback maafya tapi aku sedi bgt makanya aku kasi bintang aja biar kaya rank aku epic bintang,"['game', 'nya', 'jahat', 'suka', 'bgt', 'ngasi', 'tim', 'jelek', 'aku', 'uda', 'jago', 'malah', 'di', 'comeback', 'maafya', 'tapi', 'aku', 'sedi', 'bgt', 'makanya', 'aku', 'kasi', 'bintang', 'aja', 'biar', 'kaya', 'rank', 'aku', 'epic', 'bintang']","['game', 'nya', 'jahat', 'suka', 'bgt', 'ngasi', 'tim', 'jelek', 'uda', 'jago', 'comeback', 'maafya', 'sedi', 'bgt', 'kasi', 'bintang', 'aja', 'biar', 'kaya', 'rank', 'epic', 'bintang']","['game', 'nya', 'jahat', 'suka', 'bgt', 'ngasi', 'tim', 'jelek', 'uda', 'jago', 'comeback', 'maafya', 'sedi', 'bgt', 'kasi', 'bintang', 'aja', 'biar', 'kaya', 'rank', 'epic', 'bintang']","['game', 'nya', 'jahat', 'suka', 'bgt', 'ngasi', 'tim', 'jelek', 'uda', 'jago', 'comeback', 'maafya', 'sedi', 'bgt', 'kasi', 'bintang', 'aja', 'biar', 'kaya', 'rank', 'epic', 'bintang']"
lol dark sistem tim nya lol semua,2,Negatif,lol dark sistem tim nya lol semua,lol dark sistem tim nya lol semua,"['lol', 'dark', 'sistem', 'tim', 'nya', 'lol', 'semua']","['lol', 'dark', 'sistem', 'tim', 'nya', 'lol']","['lol', 'dark', 'sistem', 'tim', 'nya', 'lol']","['lol', 'dark', 'sistem', 'tim', 'nya', 'lol']"
Kebanyakan dark sistem. .,2,Negatif,kebanyakan dark sistem. .,kebanyakan dark sistem,"['kebanyakan', 'dark', 'sistem']","['kebanyakan', 'dark', 'sistem']","['kebanyakan', 'dark', 'sistem']","['banyak', 'dark', 'sistem']"
"game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l",2,Negatif,"game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l",game bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont l,"['game', 'bisa', 'bikin', 'skin', 'bisa', 'tapi', 'monton', 'ga', 'bisa', 'ngasi', 'tim', 'yg', 'adil', 'anjing', 'gw', 'di', 'kasih', 'dark', 'sistem', 'mulu', 'kont', 'l']","['game', 'bikin', 'skin', 'monton', 'ga', 'ngasi', 'tim', 'yg', 'adil', 'anjing', 'gw', 'kasih', 'dark', 'sistem', 'mulu', 'kont', 'l']","['game', 'bikin', 'skin', 'monton', 'ga', 'ngasi', 'tim', 'yg', 'adil', 'anjing', 'gw', 'kasih', 'dark', 'sistem', 'mulu', 'kont', 'l']","['game', 'bikin', 'skin', 'monton', 'ga', 'ngasi', 'tim', 'yg', 'adil', 'anjing', 'gw', 'kasih', 'dark', 'sistem', 'mulu', 'kont', 'l']"
Game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahÂ² terutama player inisial Jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,2,Negatif,game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahâ² terutama player inisial jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,game yang sangat bagus cocok untuk anak dibawah tahun playernya juga ramahâ² terutama player inisial jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,"['game', 'yang', 'sangat', 'bagus', 'cocok', 'untuk', 'anak', 'dibawah', 'tahun', 'playernya', 'juga', 'ramahâ²', 'terutama', 'player', 'inisial', 'jawa', 'dengan', 'kearifan', 'bertutur', 'katanya', 'yg', 'sangat', 'sopanâ˜ºï¸\uf18f']","['game', 'bagus', 'cocok', 'anak', 'dibawah', 'playernya', 'ramahâ²', 'player', 'inisial', 'jawa', 'kearifan', 'yg', 'sopanâ˜ºï¸\uf18f']","['game', 'bagus', 'cocok', 'anak', 'dibawah', 'playernya', 'ramahâ²', 'player', 'inisial', 'jawa', 'kearifan', 'yg', 'sopanâ˜ºï¸\uf18f']","['game', 'bagus', 'cocok', 'anak', 'bawah', 'playernya', 'ramah', 'player', 'inisial', 'jawa', 'arif', 'yg', 'sopan']"
Bad games,2,Negatif,bad games,bad games,"['bad', 'games']","['bad', 'games']","['bad', 'games']","['bad', 'games']"
Susah,2,Negatif,susah,susah,['susah'],['susah'],['susah'],['susah']
Tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,2,Negatif,tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu,"['tolong', 'hapus', 'invalid', 'di', 'rank', 'mytik', 'kalo', 'tidak', 'pihak', 'yang', 'tidak', 'menyerah', 'tetap', 'tambanh', 'bintang', 'yang', 'nyerah', 'tidak', 'hilang', 'bintang', 'terima', 'kasih', 'karna', 'sangat', 'membuang', 'waktu']","['tolong', 'hapus', 'invalid', 'rank', 'mytik', 'kalo', 'menyerah', 'tambanh', 'bintang', 'nyerah', 'hilang', 'bintang', 'terima', 'kasih', 'karna', 'membuang']","['tolong', 'hapus', 'invalid', 'rank', 'mytik', 'kalo', 'menyerah', 'tambanh', 'bintang', 'nyerah', 'hilang', 'bintang', 'terima', 'kasih', 'karna', 'membuang']","['tolong', 'hapus', 'invalid', 'rank', 'mytik', 'kalo', 'serah', 'tambanh', 'bintang', 'nyerah', 'hilang', 'bintang', 'terima', 'kasih', 'karna', 'buang']"
Sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,2,Negatif,sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,"['sering', 'bgt', 'kalah', 'trus', 'dikasih', 'tim', 'yg', 'ga', 'bisa', 'main', 'main', 'di', 'rank', 'mytic', 'di', 'kasih', 'tim', 'rank', 'epic', 'pokoknya', 'sesek', 'sama', 'sistem', 'nya', 'moonton']","['bgt', 'kalah', 'trus', 'dikasih', 'tim', 'yg', 'ga', 'main', 'main', 'rank', 'mytic', 'kasih', 'tim', 'rank', 'epic', 'pokoknya', 'sesek', 'sistem', 'nya', 'moonton']","['bgt', 'kalah', 'trus', 'dikasih', 'tim', 'yg', 'ga', 'main', 'main', 'rank', 'mytic', 'kasih', 'tim', 'rank', 'epic', 'pokoknya', 'sesek', 'sistem', 'nya', 'moonton']","['bgt', 'kalah', 'trus', 'kasih', 'tim', 'yg', 'ga', 'main', 'main', 'rank', 'mytic', 'kasih', 'tim', 'rank', 'epic', 'pokok', 'sek', 'sistem', 'nya', 'moonton']"
