rawContent,status,label,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
game bagus banget dan grafis juga keren. Yg gak download rugi banget tidak boros baterai. Saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,4,Positif,game bagus banget dan grafis juga keren. yg gak download rugi banget tidak boros baterai. saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,game bagus banget dan grafis juga keren yg gak download rugi banget tidak boros baterai saya kasih bintang karena terbukti bagus dan nyaman saat dimainkan,"['game', 'bagus', 'banget', 'dan', 'grafis', 'juga', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'tidak', 'boros', 'baterai', 'saya', 'kasih', 'bintang', 'karena', 'terbukti', 'bagus', 'dan', 'nyaman', 'saat', 'dimainkan']","['game', 'bagus', 'banget', 'grafis', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'terbukti', 'bagus', 'nyaman', 'dimainkan']","['game', 'bagus', 'banget', 'grafis', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'terbukti', 'bagus', 'nyaman', 'dimainkan']","['game', 'bagus', 'banget', 'grafis', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'bukti', 'bagus', 'nyaman', 'main']"
saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. Game nya keren deh pokoknya semangat terus moonton,4,Positif,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. game nya keren deh pokoknya semangat terus moonton,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya game nya keren deh pokoknya semangat terus moonton,"['saya', 'sangat', 'senang', 'untuk', 'bermain', 'game', 'ini', 'karena', 'dapat', 'mengisi', 'waktu', 'luang', 'saya', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'terus', 'moonton']","['senang', 'bermain', 'game', 'mengisi', 'luang', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'moonton']","['senang', 'bermain', 'game', 'mengisi', 'luang', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'moonton']","['senang', 'main', 'game', 'isi', 'luang', 'game', 'nya', 'keren', 'deh', 'pokok', 'semangat', 'moonton']"
wah permainan ini sangatlah keren dan menyengankan. Saya sudah menang beberapa kali. Terima kasih sudah membuat game yg sangat keren ini,4,Positif,wah permainan ini sangatlah keren dan menyengankan. saya sudah menang beberapa kali. terima kasih sudah membuat game yg sangat keren ini,wah permainan ini sangatlah keren dan menyengankan saya sudah menang beberapa kali terima kasih sudah membuat game yg sangat keren ini,"['wah', 'permainan', 'ini', 'sangatlah', 'keren', 'dan', 'menyengankan', 'saya', 'sudah', 'menang', 'beberapa', 'kali', 'terima', 'kasih', 'sudah', 'membuat', 'game', 'yg', 'sangat', 'keren', 'ini']","['permainan', 'keren', 'menyengankan', 'menang', 'kali', 'terima', 'kasih', 'game', 'yg', 'keren']","['permainan', 'keren', 'menyengankan', 'menang', 'kali', 'terima', 'kasih', 'game', 'yg', 'keren']","['main', 'keren', 'menyengankan', 'menang', 'kali', 'terima', 'kasih', 'game', 'yg', 'keren']"
"masih menjadi game seru sampai saat ini, apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya",4,Positif,"masih menjadi game seru sampai saat ini, apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya",masih menjadi game seru sampai saat ini apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya,"['masih', 'menjadi', 'game', 'seru', 'sampai', 'saat', 'ini', 'apalagi', 'sekarang', 'event', 'event', 'gratis', 'banyak', 'banget', 'makin', 'buat', 'pemain', 'betah', 'memainkannya']","['game', 'seru', 'event', 'event', 'gratis', 'banget', 'pemain', 'betah', 'memainkannya']","['game', 'seru', 'event', 'event', 'gratis', 'banget', 'pemain', 'betah', 'memainkannya']","['game', 'seru', 'event', 'event', 'gratis', 'banget', 'main', 'betah', 'main']"
selain melatih komunikasi. Manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim. Dan ini sangat berguna pada kehidupan sehari hari,4,Positif,selain melatih komunikasi. manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim. dan ini sangat berguna pada kehidupan sehari hari,selain melatih komunikasi manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim dan ini sangat berguna pada kehidupan sehari hari,"['selain', 'melatih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'adalah', 'mengajarkan', 'lo', 'pentingnya', 'kerja', 'sama', 'tim', 'dan', 'ini', 'sangat', 'berguna', 'pada', 'kehidupan', 'sehari', 'hari']","['melatih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'mengajarkan', 'lo', 'kerja', 'tim', 'berguna', 'kehidupan', 'sehari']","['melatih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'mengajarkan', 'lo', 'kerja', 'tim', 'berguna', 'kehidupan', 'sehari']","['latih', 'komunikasi', 'manfaat', 'mobile', 'legend', 'ajar', 'lo', 'kerja', 'tim', 'guna', 'hidup', 'hari']"
gamenya bagus dan seru. Banyak hero yg bisa dimainkian. Grafik semakin bagus dari dulu,4,Positif,gamenya bagus dan seru. banyak hero yg bisa dimainkian. grafik semakin bagus dari dulu,gamenya bagus dan seru banyak hero yg bisa dimainkian grafik semakin bagus dari dulu,"['gamenya', 'bagus', 'dan', 'seru', 'banyak', 'hero', 'yg', 'bisa', 'dimainkian', 'grafik', 'semakin', 'bagus', 'dari', 'dulu']","['gamenya', 'bagus', 'seru', 'hero', 'yg', 'dimainkian', 'grafik', 'bagus']","['gamenya', 'bagus', 'seru', 'hero', 'yg', 'dimainkian', 'grafik', 'bagus']","['gamenya', 'bagus', 'seru', 'hero', 'yg', 'dimainkian', 'grafik', 'bagus']"
sangat seru saya suka dengan game ini karena bisa bermain bersama teman. Dan juga game ini memiliki grafis yang bagus dan bisa diatur,4,Positif,sangat seru saya suka dengan game ini karena bisa bermain bersama teman. dan juga game ini memiliki grafis yang bagus dan bisa diatur,sangat seru saya suka dengan game ini karena bisa bermain bersama teman dan juga game ini memiliki grafis yang bagus dan bisa diatur,"['sangat', 'seru', 'saya', 'suka', 'dengan', 'game', 'ini', 'karena', 'bisa', 'bermain', 'bersama', 'teman', 'dan', 'juga', 'game', 'ini', 'memiliki', 'grafis', 'yang', 'bagus', 'dan', 'bisa', 'diatur']","['seru', 'suka', 'game', 'bermain', 'teman', 'game', 'memiliki', 'grafis', 'bagus', 'diatur']","['seru', 'suka', 'game', 'bermain', 'teman', 'game', 'memiliki', 'grafis', 'bagus', 'diatur']","['seru', 'suka', 'game', 'main', 'teman', 'game', 'milik', 'grafis', 'bagus', 'atur']"
game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,4,Positif,game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,"['game', 'ini', 'seru', 'banget', 'bisa', 'main', 'bersam', 'teman', 'dan', 'bisa', 'dapat', 'teman', 'yang', 'banyak', 'dari', 'gameini', 'dan', 'juga', 'bisa', 'menghasilkan', 'bnyak', 'uang', 'dari', 'game', 'ini']","['game', 'seru', 'banget', 'main', 'bersam', 'teman', 'teman', 'gameini', 'menghasilkan', 'bnyak', 'uang', 'game']","['game', 'seru', 'banget', 'main', 'bersam', 'teman', 'teman', 'gameini', 'menghasilkan', 'bnyak', 'uang', 'game']","['game', 'seru', 'banget', 'main', 'bersam', 'teman', 'teman', 'gameini', 'hasil', 'bnyak', 'uang', 'game']"
"game ini direkomendasikan untuk dimainkan, arena banyak dan heronya banyak dan keren bagus banget",5,Positif,"game ini direkomendasikan untuk dimainkan, arena banyak dan heronya banyak dan keren bagus banget",game ini direkomendasikan untuk dimainkan arena banyak dan heronya banyak dan keren bagus banget,"['game', 'ini', 'direkomendasikan', 'untuk', 'dimainkan', 'arena', 'banyak', 'dan', 'heronya', 'banyak', 'dan', 'keren', 'bagus', 'banget']","['game', 'direkomendasikan', 'dimainkan', 'arena', 'heronya', 'keren', 'bagus', 'banget']","['game', 'direkomendasikan', 'dimainkan', 'arena', 'heronya', 'keren', 'bagus', 'banget']","['game', 'rekomendasi', 'main', 'arena', 'hero', 'keren', 'bagus', 'banget']"
game play aman buat main enjoy grafik bagus,5,Positif,game play aman buat main enjoy grafik bagus,game play aman buat main enjoy grafik bagus,"['game', 'play', 'aman', 'buat', 'main', 'enjoy', 'grafik', 'bagus']","['game', 'play', 'aman', 'main', 'enjoy', 'grafik', 'bagus']","['game', 'play', 'aman', 'main', 'enjoy', 'grafik', 'bagus']","['game', 'play', 'aman', 'main', 'enjoy', 'grafik', 'bagus']"
"gamenya sangat bagus dan keren. Saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah, game mudah dipahami secara cepat",5,Positif,"gamenya sangat bagus dan keren. saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah, game mudah dipahami secara cepat",gamenya sangat bagus dan keren saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah game mudah dipahami secara cepat,"['gamenya', 'sangat', 'bagus', 'dan', 'keren', 'saya', 'suka', 'sekali', 'game', 'ini', 'karena', 'mengajarkan', 'kita', 'untuk', 'terus', 'berjuang', 'dan', 'pantang', 'menyerah', 'game', 'mudah', 'dipahami', 'secara', 'cepat']","['gamenya', 'bagus', 'keren', 'suka', 'game', 'mengajarkan', 'berjuang', 'pantang', 'menyerah', 'game', 'mudah', 'dipahami', 'cepat']","['gamenya', 'bagus', 'keren', 'suka', 'game', 'mengajarkan', 'berjuang', 'pantang', 'menyerah', 'game', 'mudah', 'dipahami', 'cepat']","['gamenya', 'bagus', 'keren', 'suka', 'game', 'ajar', 'juang', 'pantang', 'serah', 'game', 'mudah', 'paham', 'cepat']"
bagus. Saya suka desainnya saya suka model skin dan heronya. Penggunaannya juga gampang tidak ribe cara pemakaiannya.,5,Positif,bagus. saya suka desainnya saya suka model skin dan heronya. penggunaannya juga gampang tidak ribe cara pemakaiannya.,bagus saya suka desainnya saya suka model skin dan heronya penggunaannya juga gampang tidak ribe cara pemakaiannya,"['bagus', 'saya', 'suka', 'desainnya', 'saya', 'suka', 'model', 'skin', 'dan', 'heronya', 'penggunaannya', 'juga', 'gampang', 'tidak', 'ribe', 'cara', 'pemakaiannya']","['bagus', 'suka', 'desainnya', 'suka', 'model', 'skin', 'heronya', 'penggunaannya', 'gampang', 'ribe', 'pemakaiannya']","['bagus', 'suka', 'desainnya', 'suka', 'model', 'skin', 'heronya', 'penggunaannya', 'gampang', 'ribe', 'pemakaiannya']","['bagus', 'suka', 'desain', 'suka', 'model', 'skin', 'hero', 'guna', 'gampang', 'ribe', 'pakai']"
saya suka game ini. Terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,5,Positif,saya suka game ini. terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,saya suka game ini terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,"['saya', 'suka', 'game', 'ini', 'terima', 'kasih', 'sudah', 'membuat', 'waktu', 'luangku', 'menjafi', 'lebih', 'baik', 'dan', 'menyenangkan']","['suka', 'game', 'terima', 'kasih', 'luangku', 'menjafi', 'menyenangkan']","['suka', 'game', 'terima', 'kasih', 'luangku', 'menjafi', 'menyenangkan']","['suka', 'game', 'terima', 'kasih', 'luang', 'menjafi', 'senang']"
Gem nya sangat bagus,5,Positif,gem nya sangat bagus,gem nya sangat bagus,"['gem', 'nya', 'sangat', 'bagus']","['gem', 'nya', 'bagus']","['gem', 'nya', 'bagus']","['gem', 'nya', 'bagus']"
Karena bagus dan cantik banget karakter nya,5,Positif,karena bagus dan cantik banget karakter nya,karena bagus dan cantik banget karakter nya,"['karena', 'bagus', 'dan', 'cantik', 'banget', 'karakter', 'nya']","['bagus', 'cantik', 'banget', 'karakter', 'nya']","['bagus', 'cantik', 'banget', 'karakter', 'nya']","['bagus', 'cantik', 'banget', 'karakter', 'nya']"
Game nya bagus banget dari segi gamplay grafik mekanik recomende sihðŸ‘ðŸ‘ðŸ‘,5,Positif,game nya bagus banget dari segi gamplay grafik mekanik recomende sihðÿ‘ðÿ‘ðÿ‘,game nya bagus banget dari segi gamplay grafik mekanik recomende sihðÿ‘ðÿ‘ðÿ‘,"['game', 'nya', 'bagus', 'banget', 'dari', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende', 'sihðÿ', '‘', '\uf18dðÿ', '‘', '\uf18dðÿ', '‘', '\uf18d']","['game', 'nya', 'bagus', 'banget', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende', 'sihðÿ', '‘', '\uf18dðÿ', '‘', '\uf18dðÿ', '‘', '\uf18d']","['game', 'nya', 'bagus', 'banget', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende', 'sihðÿ', '‘', '\uf18dðÿ', '‘', '\uf18dðÿ', '‘', '\uf18d']","['game', 'nya', 'bagus', 'banget', 'segi', 'gamplay', 'grafik', 'mekanik', 'recomende', 'sih', '', '', '', '', '', '']"
gamenya jujur seru banget. Sampe ketagihan sih mainnya. Karena dari segi grafik bagus nyaman semagat terus pak moonton,5,Positif,gamenya jujur seru banget. sampe ketagihan sih mainnya. karena dari segi grafik bagus nyaman semagat terus pak moonton,gamenya jujur seru banget sampe ketagihan sih mainnya karena dari segi grafik bagus nyaman semagat terus pak moonton,"['gamenya', 'jujur', 'seru', 'banget', 'sampe', 'ketagihan', 'sih', 'mainnya', 'karena', 'dari', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'terus', 'pak', 'moonton']","['gamenya', 'jujur', 'seru', 'banget', 'sampe', 'ketagihan', 'sih', 'mainnya', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'moonton']","['gamenya', 'jujur', 'seru', 'banget', 'sampe', 'ketagihan', 'sih', 'mainnya', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'moonton']","['gamenya', 'jujur', 'seru', 'banget', 'sampe', 'tagih', 'sih', 'main', 'segi', 'grafik', 'bagus', 'nyaman', 'semagat', 'moonton']"
game yang sangat bagus untuk melatih kewarasan,5,Positif,game yang sangat bagus untuk melatih kewarasan,game yang sangat bagus untuk melatih kewarasan,"['game', 'yang', 'sangat', 'bagus', 'untuk', 'melatih', 'kewarasan']","['game', 'bagus', 'melatih', 'kewarasan']","['game', 'bagus', 'melatih', 'kewarasan']","['game', 'bagus', 'latih', 'waras']"
"permainannya bagus saya suka, bisa dimainnkan walaupun data mati",5,Positif,"permainannya bagus saya suka, bisa dimainnkan walaupun data mati",permainannya bagus saya suka bisa dimainnkan walaupun data mati,"['permainannya', 'bagus', 'saya', 'suka', 'bisa', 'dimainnkan', 'walaupun', 'data', 'mati']","['permainannya', 'bagus', 'suka', 'dimainnkan', 'data', 'mati']","['permainannya', 'bagus', 'suka', 'dimainnkan', 'data', 'mati']","['main', 'bagus', 'suka', 'dimainnkan', 'data', 'mati']"
permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,5,Positif,permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,"['permainanya', 'sangat', 'bagus', 'eventnya', 'juga', 'menarik', 'ditambah', 'lagi', 'grafiknya', 'bagus', 'banget', 'kalian', 'gak', 'bakal', 'nyesel', 'downloadnya']","['permainanya', 'bagus', 'eventnya', 'menarik', 'ditambah', 'grafiknya', 'bagus', 'banget', 'gak', 'nyesel', 'downloadnya']","['permainanya', 'bagus', 'eventnya', 'menarik', 'ditambah', 'grafiknya', 'bagus', 'banget', 'gak', 'nyesel', 'downloadnya']","['permainanya', 'bagus', 'eventnya', 'tarik', 'tambah', 'grafik', 'bagus', 'banget', 'gak', 'nyesel', 'downloadnya']"
Game nya seruðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Šâ¤â¤â¤ðŸ˜ŽðŸ˜ŽðŸ˜ðŸ¤©,5,Positif,game nya seruðÿ˜šðÿ˜šðÿ˜šðÿ˜šâ¤â¤â¤ðÿ˜žðÿ˜žðÿ˜ðÿ¤©,game nya seruðÿ˜šðÿ˜šðÿ˜šðÿ˜šâ¤â¤â¤ðÿ˜žðÿ˜žðÿ˜ðÿ¤©,"['game', 'nya', 'seruðÿ˜šðÿ˜šðÿ˜šðÿ˜šâ\uf19d¤â\uf19d¤â\uf19d¤ðÿ˜žðÿ˜žðÿ˜\uf18dðÿ¤©']","['game', 'nya', 'seruðÿ˜šðÿ˜šðÿ˜šðÿ˜šâ\uf19d¤â\uf19d¤â\uf19d¤ðÿ˜žðÿ˜žðÿ˜\uf18dðÿ¤©']","['game', 'nya', 'seruðÿ˜šðÿ˜šðÿ˜šðÿ˜šâ\uf19d¤â\uf19d¤â\uf19d¤ðÿ˜žðÿ˜žðÿ˜\uf18dðÿ¤©']","['game', 'nya', 'seru']"
bagus sekali,5,Positif,bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],['bagus'],['bagus']
Bagus kok game ya,5,Positif,bagus kok game ya,bagus kok game ya,"['bagus', 'kok', 'game', 'ya']","['bagus', 'game', 'ya']","['bagus', 'game', 'ya']","['bagus', 'game', 'ya']"
game moba yang menurut saya paling keren dan kece. Even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,5,Positif,game moba yang menurut saya paling keren dan kece. even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,game moba yang menurut saya paling keren dan kece even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,"['game', 'moba', 'yang', 'menurut', 'saya', 'paling', 'keren', 'dan', 'kece', 'even', 'yang', 'selalu', 'update', 'dan', 'ganti', 'setiap', 'bulan', 'jadi', 'bikin', 'pengguna', 'tidak', 'bosan']","['game', 'moba', 'keren', 'kece', 'even', 'update', 'ganti', 'bikin', 'pengguna', 'bosan']","['game', 'moba', 'keren', 'kece', 'even', 'update', 'ganti', 'bikin', 'pengguna', 'bosan']","['game', 'moba', 'keren', 'kece', 'even', 'update', 'ganti', 'bikin', 'guna', 'bosan']"
Aku suka game ini,5,Positif,aku suka game ini,aku suka game ini,"['aku', 'suka', 'game', 'ini']","['suka', 'game']","['suka', 'game']","['suka', 'game']"
grafiknya cantik dan jernih. Gamennya tidak terlalu menguras baterai dan bagus,5,Positif,grafiknya cantik dan jernih. gamennya tidak terlalu menguras baterai dan bagus,grafiknya cantik dan jernih gamennya tidak terlalu menguras baterai dan bagus,"['grafiknya', 'cantik', 'dan', 'jernih', 'gamennya', 'tidak', 'terlalu', 'menguras', 'baterai', 'dan', 'bagus']","['grafiknya', 'cantik', 'jernih', 'gamennya', 'menguras', 'baterai', 'bagus']","['grafiknya', 'cantik', 'jernih', 'gamennya', 'menguras', 'baterai', 'bagus']","['grafik', 'cantik', 'jernih', 'gamennya', 'uras', 'baterai', 'bagus']"
pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus. Even sangat berkesan pada saya terima kasih,5,Positif,pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus. even sangat berkesan pada saya terima kasih,pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus even sangat berkesan pada saya terima kasih,"['pengalaman', 'saya', 'yang', 'paling', 'menabjubkan', 'setelah', 'update', 'grafik', 'makin', 'bagus', 'jaringan', 'pun', 'bgus', 'even', 'sangat', 'berkesan', 'pada', 'saya', 'terima', 'kasih']","['pengalaman', 'menabjubkan', 'update', 'grafik', 'bagus', 'jaringan', 'bgus', 'even', 'berkesan', 'terima', 'kasih']","['pengalaman', 'menabjubkan', 'update', 'grafik', 'bagus', 'jaringan', 'bgus', 'even', 'berkesan', 'terima', 'kasih']","['alam', 'menabjubkan', 'update', 'grafik', 'bagus', 'jaring', 'bgus', 'even', 'kesan', 'terima', 'kasih']"
ini game nya seru banget,5,Positif,ini game nya seru banget,ini game nya seru banget,"['ini', 'game', 'nya', 'seru', 'banget']","['game', 'nya', 'seru', 'banget']","['game', 'nya', 'seru', 'banget']","['game', 'nya', 'seru', 'banget']"
Wow game ini sangat seru yah,5,Positif,wow game ini sangat seru yah,wow game ini sangat seru yah,"['wow', 'game', 'ini', 'sangat', 'seru', 'yah']","['wow', 'game', 'seru', 'yah']","['wow', 'game', 'seru', 'yah']","['wow', 'game', 'seru', 'yah']"
gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman. Dari segi gafik keren hero banyak,5,Positif,gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman. dari segi gafik keren hero banyak,gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman dari segi gafik keren hero banyak,"['gamenya', 'sudah', 'membuat', 'banyak', 'kenangan', 'yang', 'sangat', 'menyenangkan', 'bersama', 'teman', 'dari', 'segi', 'gafik', 'keren', 'hero', 'banyak']","['gamenya', 'kenangan', 'menyenangkan', 'teman', 'segi', 'gafik', 'keren', 'hero']","['gamenya', 'kenangan', 'menyenangkan', 'teman', 'segi', 'gafik', 'keren', 'hero']","['gamenya', 'kenang', 'senang', 'teman', 'segi', 'gafik', 'keren', 'hero']"
sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,5,Positif,sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,"['sangat', 'menghibur', 'dan', 'sangat', 'seru', 'oertahankan', 'kualitas', 'game', 'seperti', 'ini', 'sangat', 'bergembira', 'saat', 'bermain', 'game', 'game', 'dan', 'skill', 'para', 'hero']","['menghibur', 'seru', 'oertahankan', 'kualitas', 'game', 'bergembira', 'bermain', 'game', 'game', 'skill', 'hero']","['menghibur', 'seru', 'oertahankan', 'kualitas', 'game', 'bergembira', 'bermain', 'game', 'game', 'skill', 'hero']","['hibur', 'seru', 'oertahankan', 'kualitas', 'game', 'gembira', 'main', 'game', 'game', 'skill', 'hero']"
Keren.,5,Positif,keren.,keren,['keren'],['keren'],['keren'],['keren']
keseluruhan sangat bagus. Bisa untuk berpikit strategis dan tidak egois. Visualnya pun sangat bagus,5,Positif,keseluruhan sangat bagus. bisa untuk berpikit strategis dan tidak egois. visualnya pun sangat bagus,keseluruhan sangat bagus bisa untuk berpikit strategis dan tidak egois visualnya pun sangat bagus,"['keseluruhan', 'sangat', 'bagus', 'bisa', 'untuk', 'berpikit', 'strategis', 'dan', 'tidak', 'egois', 'visualnya', 'pun', 'sangat', 'bagus']","['bagus', 'berpikit', 'strategis', 'egois', 'visualnya', 'bagus']","['bagus', 'berpikit', 'strategis', 'egois', 'visualnya', 'bagus']","['bagus', 'berpikit', 'strategis', 'egois', 'visual', 'bagus']"
WAW GAMENYA SERU BANGET MAIN AMA TEMEN 5 HARI KALAH TERUS.GAME YANG SANGAT SERU AKU INGIN menang LAGI KARENA SANGAT SERU,5,Positif,waw gamenya seru banget main ama temen 5 hari kalah terus.game yang sangat seru aku ingin menang lagi karena sangat seru,waw gamenya seru banget main ama temen hari kalah terus game yang sangat seru aku ingin menang lagi karena sangat seru,"['waw', 'gamenya', 'seru', 'banget', 'main', 'ama', 'temen', 'hari', 'kalah', 'terus', 'game', 'yang', 'sangat', 'seru', 'aku', 'ingin', 'menang', 'lagi', 'karena', 'sangat', 'seru']","['waw', 'gamenya', 'seru', 'banget', 'main', 'ama', 'temen', 'kalah', 'game', 'seru', 'menang', 'seru']","['waw', 'gamenya', 'seru', 'banget', 'main', 'ama', 'temen', 'kalah', 'game', 'seru', 'menang', 'seru']","['waw', 'gamenya', 'seru', 'banget', 'main', 'ama', 'temen', 'kalah', 'game', 'seru', 'menang', 'seru']"
Seru banget dan ketagihan mabar mulu deh,5,Positif,seru banget dan ketagihan mabar mulu deh,seru banget dan ketagihan mabar mulu deh,"['seru', 'banget', 'dan', 'ketagihan', 'mabar', 'mulu', 'deh']","['seru', 'banget', 'ketagihan', 'mabar', 'mulu', 'deh']","['seru', 'banget', 'ketagihan', 'mabar', 'mulu', 'deh']","['seru', 'banget', 'tagih', 'mabar', 'mulu', 'deh']"
Game nya bagus sekali sangat bermanfaat untuk melatih kesabaran,5,Positif,game nya bagus sekali sangat bermanfaat untuk melatih kesabaran,game nya bagus sekali sangat bermanfaat untuk melatih kesabaran,"['game', 'nya', 'bagus', 'sekali', 'sangat', 'bermanfaat', 'untuk', 'melatih', 'kesabaran']","['game', 'nya', 'bagus', 'bermanfaat', 'melatih', 'kesabaran']","['game', 'nya', 'bagus', 'bermanfaat', 'melatih', 'kesabaran']","['game', 'nya', 'bagus', 'manfaat', 'latih', 'sabar']"
sangat ku suka,5,Positif,sangat ku suka,sangat ku suka,"['sangat', 'ku', 'suka']","['ku', 'suka']","['ku', 'suka']","['ku', 'suka']"
